판매일,EA,주소,시도,시군,구,기온,상품명_cleaned,제로구분,년월
2024-01-02,24,경상남도 창원시 의창구 원이대로,경상남도,창원시,의창구,7.1,펩시콜라,일반,2024-01
2024-01-02,-24,경상남도 창원시 의창구 남산로115번길,경상남도,창원시,의창구,7.1,칠성사이다,일반,2024-01
2024-01-02,24,경상남도 창원시 의창구 남산로115번길,경상남도,창원시,의창구,7.1,칠성사이다,일반,2024-01
2024-01-02,24,경상남도 창원시 의창구 남산로115번길,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,-24,경상남도 창원시 의창구 남산로115번길,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,-24,경상남도 창원시 의창구 남산로115번길,경상남도,창원시,의창구,7.1,환타오렌지,일반,2024-01
2024-01-02,24,경상남도 창원시 의창구 남산로115번길,경상남도,창원시,의창구,7.1,환타오렌지,일반,2024-01
2024-01-02,24,경상남도 창원시 의창구 무역로,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,72,경상남도 창원시 진해구 경화로,경상남도,창원시,진해구,7.1,칠성사이다,일반,2024-01
2024-01-02,24,경상남도 창원시 마산합포구 합포남10길,경상남도,창원시,마산합포구,7.1,칠성사이다,일반,2024-01
2024-01-02,48,경상남도 창원시 의창구 읍성로,경상남도,창원시,의창구,7.1,칠성사이다,일반,2024-01
2024-01-02,72,경상남도 창원시 마산회원구 봉암북15길,경상남도,창원시,마산회원구,7.1,칠성사이다,일반,2024-01
2024-01-02,24,경상남도 창원시 마산회원구 봉암북15길,경상남도,창원시,마산회원구,7.1,코카콜라,일반,2024-01
2024-01-02,72,경상남도 창원시 마산회원구 봉암북15길,경상남도,창원시,마산회원구,7.1,코카콜라,일반,2024-01
2024-01-02,24,경상남도 창원시 의창구 도계로18번길,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,12,경상남도 창원시 진해구 여명로,경상남도,창원시,진해구,7.1,맥콜,일반,2024-01
2024-01-02,30,경상남도 창원시 진해구 여명로,경상남도,창원시,진해구,7.1,맥콜,일반,2024-01
2024-01-02,48,경상남도 창원시 마산회원구 북성로,경상남도,창원시,마산회원구,7.1,칠성사이다,일반,2024-01
2024-01-02,24,경상남도 창원시 마산회원구 구암북11길,경상남도,창원시,마산회원구,7.1,칠성사이다,일반,2024-01
2024-01-02,30,경상남도 창원시 의창구 명서로,경상남도,창원시,의창구,7.1,칠성사이다,일반,2024-01
2024-01-02,30,경상남도 창원시 의창구 명서로,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,12,경상남도 창원시 의창구 사화로,경상남도,창원시,의창구,7.1,칠성사이다제로,제로,2024-01
2024-01-02,24,경상남도 창원시 마산회원구 3·15성역로,경상남도,창원시,마산회원구,7.1,칠성사이다,일반,2024-01
2024-01-02,24,경상남도 창원시 마산회원구 3·15성역로,경상남도,창원시,마산회원구,7.1,코카콜라,일반,2024-01
2024-01-02,24,경상남도 창원시 마산회원구 3·15성역로,경상남도,창원시,마산회원구,7.1,환타오렌지,일반,2024-01
2024-01-02,12,경상남도 창원시 마산회원구 3·15대로,경상남도,창원시,마산회원구,7.1,코카콜라,일반,2024-01
2024-01-02,24,경상남도 창원시 의창구 죽전로,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,30,경상남도 창원시 성산구 창원대로,경상남도,창원시,성산구,7.1,칠성사이다,일반,2024-01
2024-01-02,12,경상남도 창원시 의창구 우곡로,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,48,경상남도 창원시 마산회원구 내서읍 구미길,경상남도,창원시,마산회원구,7.1,칠성사이다,일반,2024-01
2024-01-02,120,경상남도 창원시 마산회원구 내서읍 구미길,경상남도,창원시,마산회원구,7.1,코카콜라,일반,2024-01
2024-01-02,20,경상남도 창원시 성산구 연덕로184번길,경상남도,창원시,성산구,7.1,칠성사이다,일반,2024-01
2024-01-02,24,경상남도 창원시 성산구 연덕로184번길,경상남도,창원시,성산구,7.1,펩시콜라,일반,2024-01
2024-01-02,30,경상남도 창원시 성산구 가음정로,경상남도,창원시,성산구,7.1,맥콜,일반,2024-01
2024-01-02,30,경상남도 창원시 성산구 가음정로,경상남도,창원시,성산구,7.1,맥콜,일반,2024-01
2024-01-02,-30,경상남도 창원시 성산구 가음정로,경상남도,창원시,성산구,7.1,맥콜,일반,2024-01
2024-01-02,24,경상남도 창원시 성산구 가음정로,경상남도,창원시,성산구,7.1,코카콜라,일반,2024-01
2024-01-02,24,경상남도 창원시 성산구 가음정로,경상남도,창원시,성산구,7.1,코카콜라,일반,2024-01
2024-01-02,-24,경상남도 창원시 성산구 가음정로,경상남도,창원시,성산구,7.1,코카콜라,일반,2024-01
2024-01-02,24,경상남도 창원시 마산회원구 구암동1길,경상남도,창원시,마산회원구,7.1,코카콜라,일반,2024-01
2024-01-02,24,경상남도 창원시 성산구 반송로,경상남도,창원시,성산구,7.1,칠성사이다,일반,2024-01
2024-01-02,30,경상남도 창원시 의창구 동읍 동읍로,경상남도,창원시,의창구,7.1,칠성사이다,일반,2024-01
2024-01-02,12,경상남도 창원시 의창구 동읍 동읍로,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,30,경상남도 창원시 의창구 동읍 동읍로,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,24,경상남도 창원시 의창구 동읍 동읍로,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,30,경상남도 창원시 의창구 동읍 동읍로,경상남도,창원시,의창구,7.1,코카콜라제로,제로,2024-01
2024-01-02,1,경상남도 창원시 마산합포구 고운로,경상남도,창원시,마산합포구,7.1,코카콜라,일반,2024-01
2024-01-02,24,경상남도 창원시 진해구 인사로,경상남도,창원시,진해구,7.1,칠성사이다,일반,2024-01
2024-01-02,24,경상남도 창원시 의창구 사화로,경상남도,창원시,의창구,7.1,칠성사이다,일반,2024-01
2024-01-02,30,경상남도 창원시 의창구 상남로,경상남도,창원시,의창구,7.1,데미소다애플,일반,2024-01
2024-01-02,24,경상남도 창원시 의창구 동정길,경상남도,창원시,의창구,7.1,칠성사이다,일반,2024-01
2024-01-02,12,경상남도 창원시 의창구 동정길,경상남도,창원시,의창구,7.1,칠성사이다,일반,2024-01
2024-01-02,20,경상남도 창원시 의창구 동정길,경상남도,창원시,의창구,7.1,칠성사이다,일반,2024-01
2024-01-02,24,경상남도 창원시 의창구 동정길,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,24,경상남도 창원시 의창구 동정길,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,24,경상남도 창원시 의창구 대원로,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
2024-01-02,30,경상남도 창원시 의창구 차상로150번길,경상남도,창원시,의창구,7.1,코카콜라,일반,2024-01
